name,files,mentions
swami ji,6421,6501
guruji,1552,1573
nanak,476,500
krishna,448,456
swami-ji,374,374
guru,332,338
arjuna,306,313
ram,303,315
kabir,252,261
mira,251,258
buddha,236,241
vivekananda,230,235
prahlad,216,220
rama,185,204
mirabai,181,188
swami,164,166
raidas,162,169
shankaracharya,145,150
mahavir,139,142
alexander,139,139
murshid,130,131
jesus,119,122
arjun,119,121
sagar,116,119
baba,113,115
prabhu,111,121
shiva,109,115
aristotle,108,108
hari,105,106
shikandar,104,104
mahavira,102,103
badal,101,104
rabia,101,104
gurudev,98,104
guru nanak,97,98
ravidas,92,96
naren,92,94
julius caesar,89,89
gobind,86,89
gopal,86,87
narendra,82,85
raja janak,79,80
edison,77,77
einstein,75,75
newton,74,74
guru sandipani,67,69
swami vivekananda,66,68
rishi kumar,64,65
shri krishna,60,67
babaji,60,62
peepa,60,61
kabeer,60,60
abraham,59,62
mursheed,59,60
akbar,59,59
guru nanak dev,56,56
shankar,55,56
sudama,54,59
pipa,54,56
guru devi ji,54,54
guru ji,54,54
guru gobind singh,52,69
sita,52,54
alexander the great,51,51
jesus christ,50,51
socrates,49,56
bhagwan krishna,49,50
guru gorakhnath,49,50
sahajo,48,52
guru ravidas,48,51
nana,45,51
muhammad,45,47
bhagwan ram,45,46
master,44,45
ramakrishna,43,44
puran singh,43,43
swami ram,43,43
hanuman,42,44
carnegie,42,42
gora,42,42
raabia,41,41
bhagwan,40,43
guru vasishtha,40,42
dhanna,40,40
tukaram,39,40
gurudev ji,39,39
plato,38,38
rockefeller,38,38
dhru,37,37
raja,36,45
brahma,36,36
sadguru,36,36
swami ram tirth,36,36
gopala,35,38
bithal,35,36
maharaj,35,35
siddhartha,35,35
chaitanya,33,35
lakshman,33,33
swami ram tirath,32,33
indumati,32,32
morgan,31,31
swamiji,31,31
guru gorakshanath,30,34
astavakra,30,30
guru dev,30,30
mansoor,30,30
narada,30,30
rishi ji,30,30
gorakhnath,29,32
surdas,29,30
vardhman,29,30
namdev,29,29
shiv,29,29
baava,28,29
tukka,28,28
adison,27,27
eknath,27,27
gargi,27,27
morgan rockefeller,27,27
narada muni,26,26
janak,25,26
tulsidas,25,26
dhruv,25,25
mira bai,25,25
narayan,25,25
rishikumar,25,25
sushila,25,25
vishnu,25,25
christ,24,24
guru-dev,24,24
prahlaad,24,24
malik,23,23
swami ramtirth,23,23
vikramaditya,23,23
yashoda,23,23
mursid,22,23
gautam,22,22
govind,22,22
radha,22,22
dhruva,21,22
girdhar gopal,21,22
swamiram,21,21
guru nanak dev ji,20,21
ramakrishna paramahansa,20,21
kabir sahab,20,20
nank,20,20
vasishtha,20,20
baba ramakrishna,19,22
shukdev,19,22
lakshmi,19,21
dhanan,18,19
rishi,18,19
guruvar,18,18
mira maharani,18,18
shabari,18,18
jain,17,18
mahatma gandhi,17,18
ajay,17,17
raja bhartri hari,17,17
sahaj,17,17
uddhav,16,20
guru-nanak-dev,16,17
lord krishna,16,16
narendranath,16,16
purn singh,16,16
rahul,16,16
virat,16,16
lahna,15,16
draupadi,15,15
kabeer sahab,15,15
raja bharat,15,15
udhav,15,15
birbal,14,15
kapil,14,15
garagi,14,14
guru dev ji,14,14
kabiir,14,14
napoleon,14,14
rishikapil,14,14
mark,13,15
guru gobind,13,14
mahaprabhu chaitanya,13,14
bhagwan shiv,13,13
bhagwan shri krishna,13,13
budh,13,13
duryodhana,13,13
ekanath,13,13
ekna,13,13
guru arjan dev,13,13
hanumanlal,13,13
mahatma buddha,13,13
mohammad,13,13
nachiketa,13,13
purushotam ji,13,13
raavan,13,13
ramananda,13,13
bhagavan,12,13
devi,12,13
raidaas,12,13
shabri,12,13
shivaji,12,13
baba farid,12,12
divan,12,12
guru devi,12,12
ibrahim,12,12
rabindranath tagore,12,12
ravana,12,12
sant,12,12
shuk dev,12,12
vyasa,12,12
vishwas,11,12
gorakh,11,11
gulshan,11,11
gurunanak,11,11
hitler,11,11
lakshmana,11,11
paramahansa,11,11
peter,11,11
pita shri,11,11
tata,11,11
tulsi das,11,11
sankaracharya,10,13
guru-nanak,10,12
allah,10,11
gor,10,11
maharaja,10,11
raam,10,11
rajkumar,10,11
sudarshan,10,11
sugriva,10,11
sundar,10,11
ambani,10,10
drupada,10,10
drupadi,10,10
gautam buddha,10,10
gurunank dev,10,10
kabir saheb,10,10
maharani,10,10
masters,10,10
meera,10,10
murshid ji,10,10
nachi,10,10
nam,10,10
nama,10,10
narayana,10,10
rana,10,10
ruth,10,10
savitri,10,10
shankara,10,10
shukadev,10,10
vinod,10,10
shri ram,9,16
raja kumar,9,11
mohammed,9,10
ram krishna,9,10
baba ram krishna,9,9
bernard shaw,9,9
bharat,9,9
dev,9,9
dhana,9,9
guru-ji,9,9
guru rai das,9,9
hanuman lal ji,9,9
hasan,9,9
janaka,9,9
kabi,9,9
maa,9,9
narad,9,9
narendranath datta,9,9
parvati,9,9
pir,9,9
prabhupada,9,9
prince ram,9,9
professor tirtharam,9,9
raman,9,9
shri,9,9
shuddhodhan,9,9
shwet ketu,9,9
tiratharam,9,9
tuka,9,9
yashodhara,9,9
yudhishthira,9,9
baba ji,8,12
bulleshwar,8,10
guru kabir,8,9
guru ram das,8,9
mahaavir,8,9
sahiba,8,9
swami ramteerth,8,9
baba ramkishan,8,8
brahma ji,8,8
caesar,8,8
child ruth,8,8
dadami,8,8
dharna,8,8
father,8,8
gora badal,8,8
guru angad dev,8,8
guru govind singh,8,8
guru krishna,8,8
hanuman lal,8,8
karam,8,8
lord ram,8,8
maha raj,8,8
mahesh,8,8
mool shankar,8,8
professor,8,8
professor tiratharam,8,8
raja janaka,8,8
shukra dev,8,8
swami ram tirat,8,8
vallabhacharya,8,8
yama,8,8
gajab,7,11
maharshi dadami,7,10
nara,7,9
bhagavan krishna,7,8
guru vashishtha,7,8
rajan,7,8
sants,7,8
shakti,7,8
addison,7,7
angad,7,7
bajshah,7,7
balaram,7,7
bhagwan mahavir,7,7
birla,7,7
budha,7,7
dadhichi,7,7
dadu,7,7
dasharatha,7,7
doctor,7,7
gosain ji,7,7
guru arjun dev,7,7
guru granth sahib,7,7
guru ramanand,7,7
guru ramdas,7,7
guru vasist,7,7
guru vasistha,7,7
guruvesh,7,7
kabeer saheb,7,7
king janaka,7,7
krsna,7,7
mahaprabhu,7,7
maitreyi,7,7
mansur,7,7
miraji,7,7
paramatma,7,7
prince gopal,7,7
rabiyah,7,7
rahaul,7,7
raja bhartrihari,7,7
raja ram,7,7
raman maharshi,7,7
ram basah,7,7
ratnavali,7,7
rishi dinesh vishwas,7,7
rishi jan,7,7
rumi,7,7
sardar puran singh,7,7
swamiram tirath,7,7
swami-ram-tirth,7,7
vinod goyal,7,7
viraat,7,7
vishwamitra,7,7
rani,6,15
guru badal,6,8
guru ram,6,8
baba ram das,6,7
babu,6,7
balram,6,7
deva,6,7
hanumanlal ji,6,7
rajab,6,7
sahib,6,7
anita,6,6
ashish,6,6
ashok,6,6
ashok sharma,6,6
asthavakra,6,6
bhagat,6,6
child,6,6
dhan,6,6
divani,6,6
drupad,6,6
ek,6,6
ganga,6,6
gaura,6,6
gautama,6,6
girdhar,6,6
giridhar gopal,6,6
guru brahma,6,6
gurus,6,6
guru vishnu,6,6
hari ji,6,6
harishchandra,6,6
lal,6,6
maharaja vikramaditya,6,6
maharshi,6,6
mehraj,6,6
mirza,6,6
mother,6,6
murshids,6,6
narain,6,6
narasimha,6,6
prabhujee,6,6
pritam,6,6
raibya,6,6
raida,6,6
raja bharati hari,6,6
ramkrishna,6,6
rishikesh,6,6
rishis,6,6
sabri,6,6
sadhguru,6,6
sadhu,6,6
sai baba,6,6
saibaba,6,6
sakhis,6,6
sati,6,6
sharda,6,6
shushila,6,6
siddharth,6,6
siddhartha gautam,6,6
sita ji,6,6
sri ram,6,6
sumitra,6,6
sunil,6,6
sunita,6,6
suniti,6,6
swami ramteerath,6,6
tirtharam,6,6
tulsi,6,6
vashishtha,6,6
ved vyasa,6,6
vipul jain,6,6
vithal,6,6
guru sagar,5,7
guru tegh bahadur,5,7
jagadish,5,7
majnu,5,7
belani,5,6
kant,5,6
nath,5,6
prabhuram,5,6
swami ramdev,5,6
swami ramteer,5,6
urmila,5,6
ashoka,5,5
ashwatthama,5,5
baba ram kisan,5,5
babur,5,5
badar,5,5
bata,5,5
beepa,5,5
bhagwan buddh,5,5
bhart,5,5
bhartrihari,5,5
bhuvaneswari,5,5
buleshwar,5,5
dadamji,5,5
dayanand,5,5
dhru prahlad,5,5
emerson,5,5
ganesha,5,5
gita,5,5
gulal,5,5
guru-gobind-singh,5,5
guru-gorakhnath,5,5
guru-gorakshanath,5,5
guru gulal,5,5
guru hargobind,5,5
guru haridas,5,5
guru har krishan,5,5
guru har rai,5,5
