name,files,mentions
dagshai,2482,2490
delhi,1031,1032
india,613,664
america,299,305
ludhiana,291,291
chandigarh,202,203
panchkula,178,178
noida,166,166
faridabad,164,164
ashok vihar,120,120
kashi,114,118
europe,108,109
bathinda,106,106
guru kirpa farm,98,98
shimla,93,93
chhattarpur,86,86
mandir,79,84
bharat,77,77
world,72,72
lahore,69,69
punjab,63,63
kumra palace,62,62
ayodhya,59,61
brijbhumi,58,58
ganga,56,56
solan,56,56
tokyo,55,59
hisar,53,53
rishikesh,52,53
manali,50,50
japan,49,49
dilli,48,48
karnal,47,47
ashram,45,45
jungle,43,43
varanasi,41,46
himachal,41,42
masjid,41,41
haridwar,40,42
rajasthan,36,36
palla road,35,35
dwarka,34,34
greater india,34,34
kolkata,33,33
expo centre,30,30
yamuna,30,30
kashmir,29,42
bharti,29,29
mathura,29,29
california,27,27
ndri auditorium,27,27
pitampura,27,27
gurdwara,26,32
kailash,26,27
naraina,26,26
boston,25,25
church,25,25
germany,25,25
hissar,25,25
himalayas,24,24
hindustan,24,24
uttarakhand,24,24
chattarpur,23,23
home,23,23
new york,23,23
makkah,22,37
sri ganganagar,22,23
bombay,22,22
vrindavan,22,22
gurudwara,21,22
canada,21,21
earth,21,21
england,21,21
mohali,21,21
punjabi bagh,21,21
dakshin,20,20
gang,20,20
mahal,20,20
mountview,20,20
paonta sahib,20,20
ashok-vihar,19,19
gokul,19,19
haryana,19,19
mewar,19,19
sirsa,19,19
greece,18,19
agra,18,18
asia,18,18
bhopal,18,18
dwaraka,18,18
heaven,18,18
magnet resort,18,18
badrinath,17,17
kirti nagar,17,17
triveni,17,17
virat,17,17
ganga kinare,16,16
hari nagar,16,16
hotel keys,16,16
meditation center,16,16
gaya,15,17
uttarakashi,15,16
chicago,15,15
expo centre noida,15,15
jaipur,15,15
kurukshetra,15,15
london,15,15
pune,15,15
south,15,15
south india,15,15
tirth,15,15
yunan,15,15
banaras,14,14
luudhiana,14,14
magnet resort ludhiana,14,14
mcf auditorium,14,14
pachkula,14,14
punjabi bagh centre,14,14
shivalik view,14,14
siri fort auditorium,14,14
temple,14,14
china,13,14
ambala,13,13
anarkali bazaar,13,13
himachal pradesh,13,13
patiala,13,13
school,13,13
shikago,13,13
braj,12,13
mumbai,12,13
switzerland,12,13
aligarh,12,12
calcutta,12,12
madinah,12,12
rampura,12,12
amritsar,11,11
bihar,11,11
guru-kirpa-farm,11,11
himalay,11,11
mevada,11,11
भारत,11,11
athens,10,10
bangalore,10,10
bharti bhumi,10,10
hall,10,10
himalaya,10,10
kaashi,10,10
mandi,10,10
massachusetts,10,10
multan,10,10
palace,10,10
radha palace,10,10
rajgarh,10,10
solon,10,10
vishwas meditation center,10,10
10 kumra palace,9,9
bharat bhumi,9,9
chail,9,9
clarks inn sahibabad,9,9
dakshineswar,9,9
egypt,9,9
forest,9,9
greek,9,9
iran,9,9
kasauli,9,9
matura,9,9
ujjain,9,9
adampur,8,9
dakshai,8,9
australia,8,8
badri,8,8
congress hall,8,8
ganga nagar,8,8
ghar,8,8
hariana,8,8
hell,8,8
himalya,8,8
jalandhar,8,8
kaba,8,8
kumra-palace,8,8
market,8,8
mevati,8,8
pakistan,8,8
palla-road,8,8
panjabi bagh,8,8
park,8,8
pitamberdharan,8,8
punjab camp,8,8
shimala,8,8
uttarkashi,8,8
vaikunth,8,8
bhakti,7,7
brij bhumi,7,7
college,7,7
inderdhanush,7,7
kanpur,7,7
kapilvastu,7,7
kedar,7,7
lanka,7,7
mewat,7,7
middle east,7,7
mithila,7,7
mosque,7,7
panjab,7,7
punjabi,7,7
puri,7,7
rajgir,7,7
rampur,7,7
toronto,7,7
universe,7,7
village,7,7
west,7,7
dharamsala,6,7
alexandria,6,6
auditorium,6,6
bangla,6,6
barnala,6,6
dehradun,6,6
expo-centre,6,6
france,6,6
ganga sagar,6,6
gang nagar,6,6
gangotri,6,6
garden,6,6
girnar,6,6
harayana,6,6
hospital,6,6
italy,6,6
jammu,6,6
janta bawan,6,6
kirtinagar,6,6
maikhane,6,6
mecca,6,6
meditation hall,6,6
national farm house,6,6
ndri-auditorium,6,6
north india,6,6
park plaza ludhiana,6,6
sadhawali,6,6
singapore,6,6
south africa,6,6
university,6,6
up,6,6
दगशै,6,6
लुधियाना,6,6
bengaluru,5,5
braj-bhumi,5,5
cape cod,5,5
club delhi,5,5
dwarika,5,5
east,5,5
frankfurt,5,5
fridabad,5,5
ganges,5,5
guru ashram,5,5
himachal bhavan,5,5
hotel keys ludhiana,5,5
indore,5,5
jind,5,5
kaaba,5,5
kedarnath,5,5
kullu,5,5
madras,5,5
mahaal,5,5
mahali,5,5
markande hall,5,5
medina,5,5
mussorie,5,5
naraka,5,5
new delhi,5,5
pahad,5,5
parvat,5,5
russia,5,5
sahara,5,5
shahabad markanda,5,5
shiv mandir,5,5
stanford university,5,5
uttar pradesh,5,5
yamnagar,5,5
palestine,4,5
anarkali,4,4
assam,4,4
bangladesh,4,4
bazaar,4,4
bengal,4,4
birmingham,4,4
buddha nagar,4,4
center,4,4
chennai,4,4
dagsai,4,4
fatehabad,4,4
gangapur,4,4
gangnagar,4,4
greater noida,4,4
gujarat,4,4
gurgaon,4,4
gurudwar,4,4
hari nagar delhi,4,4
harvard,4,4
heart,4,4
hotel,4,4
hyderabad,4,4
jerusalem,4,4
kirti-nagar,4,4
madhuban,4,4
madina,4,4
masuri,4,4
meditation-center,4,4
mehrauli,4,4
mountains,4,4
nature,4,4
north america,4,4
park plaza,4,4
parvat shikhar,4,4
pitamberdhara,4,4
prayag,4,4
punjabi bag,4,4
punjabi-bagh,4,4
rajpura,4,4
sambodhan,4,4
san francisco,4,4
shahabad,4,4
simla,4,4
sky,4,4
spain,4,4
street,4,4
thailand,4,4
united bengal,4,4
usa,4,4
yamuna nagar,4,4
दिल्ली,4,4
bharta,3,14
meerut,3,14
murti,3,10
advanced camp,3,3
africa,3,3
ahmedabad,3,3
anarkali park,3,3
ashrams,3,3
badari,3,3
bangal,3,3
bank,3,3
barwala,3,3
bhatinda,3,3
bilaspur,3,3
brijbhoomi,3,3
brijbhum,3,3
brij-bhumi,3,3
chd,3,3
chhattarpur delhi,3,3
children camp,3,3
city,3,3
dakshini,3,3
dubai,3,3
dubwali,3,3
firozpur,3,3
ganganagar,3,3
gangasagar,3,3
gayaabad,3,3
greater-india,3,3
gufa,3,3
gurudev,3,3
guru kripa farm house,3,3
gurukul,3,3
haidarabad,3,3
hari-nagar,3,3
hastinapur,3,3
himachal bhawan,3,3
himalyaj,3,3
hindostan,3,3
hinduistan,3,3
holland,3,3
hong kong,3,3
house,3,3
hyde park,3,3
jagadhari,3,3
janta bhawan,3,3
kabul,3,3
kenya,3,3
kerala,3,3
laboratory,3,3
lohdi,3,3
ludhiana center,3,3
mahals,3,3
maharashtra,3,3
marusthal,3,3
mcf-auditorium,3,3
meerabadi,3,3
mehal,3,3
mohan garden,3,3
monsoon,3,3
mussoorie,3,3
nagpur,3,3
nalanda university,3,3
naraina delhi,3,3
new zealand,3,3
odisha,3,3
pahaad,3,3
pahadon,3,3
pali,3,3
palla road delhi,3,3
panchakula,3,3
panchgula,3,3
panipat,3,3
panjabi bag,3,3
paris,3,3
parvat shikhaon,3,3
pb club delhi,3,3
prayagraj,3,3
puna,3,3
punah,3,3
punjabi bag center,3,3
radha-palace,3,3
ramapura,3,3
rameshwaram,3,3
ram katha,3,3
rasoi,3,3
river,3,3
road,3,3
rome,3,3
room,3,3
sadhuwali,3,3
sagar,3,3
sahibabad,3,3
samsar,3,3
shabad,3,3
shikarpur,3,3
shivalikview,3,3
shivratri camp,3,3
shri ganga nagar,3,3
sindh,3,3
sonipat,3,3
south america,3,3
sri-ganganagar,3,3
tronto,3,3
udaipur,3,3
varindavan,3,3
vishwas-meditation-center,3,3
vishwas school,3,3
vraja,3,3
western countries,3,3
yamnana nagar,3,3
yoga ashram,3,3
yunnan,3,3
अमेरिका,3,3
गंगा,3,3
पंजाब,3,3
मंदिर,3,3
darbar sahib,2,14
rajmahal,2,14
kashmir valley,2,4
mars,2,4
buddha,2,3
jagdishpur,2,3
09 park plaza ludhiana,2,2
10-kumra-palace,2,2
12 kumra palace,2,2
12-kumra-palace,2,2
33 number ki pahadon,2,2
afghanistan,2,2
ahmadgarh,2,2
alambagar,2,2
aligarh center,2,2
all india,2,2
ambala city,2,2
anarkali bazar,2,2
andhra pradesh,2,2
apollo hospital,2,2
arab,2,2
army public school,2,2
asman,2,2
bakunth,2,2
basti,2,2
bathlehem,2,2
bathroom,2,2
bhagalpur,2,2
bhagavad gita,2,2
bhakti mandir,2,2
bharaat,2,2
bhart,2,2
bhartiya,2,2
bhopal center,2,2
bhutan,2,2
bohpal,2,2
brahmaputra,2,2
brij,2,2
brij-bhoomi,2,2
britain,2,2
bungalow,2,2
camp,2,2
cape town,2,2
cemetary,2,2
chamba,2,2
chandi-ghar,2,2
chatarpur,2,2
chattarpur delhi,2,2
chhattisgarh,2,2
clarks-inn,2,2
clarks-inn-sahibabad,2,2
club,2,2
cosmos,2,2
court,2,2
dabwali,2,2
dakka,2,2
daksai,2,2
dali,2,2
darbar,2,2
desert,2,2
dhampur,2,2
dharamshala,2,2
dharmshala,2,2
dil,2,2
dilli ke maidan,2,2
divan,2,2
dvarka,2,2
farm house,2,2
fateh kot,2,2
four dhams,2,2
freedabad,2,2
fridababad,2,2
gaiziyabad,2,2
ganga ghat,2,2
ganga kinar,2,2
ganga kinara,2,2
ganga yamuna,2,2
gao,2,2
gau,2,2
gaziyabad,2,2
girinar,2,2
goa,2,2
ground,2,2
guru kripa farm,2,2
guru-kripa-farm,2,2
guzrat,2,2
hardwar,2,2
hariyana,2,2
harvard university,2,2
high court,2,2
hills,2,2
himala,2,2
himalyas,2,2
himani hotel,2,2
hindu-temple,2,2
hisar center,2,2
holi,2,2
hongkong,2,2
indian,2,2
indian culture,2,2
indivisual meditation,2,2
indraprastha,2,2
indus,2,2
jail,2,2
jain nagar,2,2
jindal garden,2,2
jopdi,2,2
kabe,2,2
kalsoli,2,2
kapiavashtu,2,2
karnataka,2,2
kashauli,2,2
kathal,2,2
kirtipur,2,2
kishkinda,2,2
kitchen,2,2
kuru,2,2
lab,2,2
lalit chd,2,2
living room,2,2
lohri,2,2
los angeles,2,2
lucknow,2,2
madhya pradesh,2,2
magadh,2,2
magnet-resort,2,2
mahabharat,2,2
mahabharata,2,2
maha-sagar,2,2
mahashivratri,2,2
mahbub ki gali,2,2
malaysia,2,2
malwa,2,2
manasarovar,2,2
mandi adampur,2,2
mandirs,2,2
manpur,2,2
mansa,2,2
mansion,2,2
markandey hall,2,2
marriage-palace,2,2
material world,2,2
meerat,2,2
mental hospital,2,2
meowad,2,2
mirath,2,2
mohan nagar,2,2
monastery,2,2
mountain,2,2
nagar,2,2
naida center,2,2
nainital,2,2
nairobi,2,2
nanded,2,2
nepal,2,2
new-york,2,2
nigeria,2,2
ocean,2,2
office,2,2
outside,2,2
panjabi bag club,2,2
panjgula,2,2
pantimberdharan,2,2
parliament,2,2
parliament house,2,2
parvat shikharon,2,2
pb club,2,2
pgi,2,2
portugal,2,2
punjabi bag club,2,2
punjabi-bagh-centre,2,2
punjabi bagh centre delhi,2,2
punjabi bagh club,2,2
rainbow stadium,2,2
rajgadh,2,2
rajkot,2,2
rajputana,2,2
ramayana,2,2
ram mandir,2,2
ram mandir bhavan,2,2
ram pura,2,2
rampura phool,2,2
registan,2,2
resort,2,2
risikesh,2,2
rohtak,2,2
rooms,2,2
rotak,2,2
ruana,2,2
samshaan,2,2
samudra,2,2
sangrur,2,2
sarai,2,2
schools,2,2
sea,2,2
senate hall,2,2
shivalik,2,2
shivalik-view,2,2
sindagi,2,2
sindh river,2,2
singapur,2,2
siri-fort-auditorium,2,2
sirsah,2,2
sirsas,2,2
society,2,2
solan center,2,2
south delhi,2,2
stadium,2,2
staff room,2,2
sudan,2,2
tamil nadu,2,2
tanzania,2,2
tirath,2,2
tirths,2,2
turkey,2,2
uganda,2,2
un,2,2
uttarashi,2,2
vaikuntha,2,2
vidya mandir,2,2
vishwas foundation,2,2
vishwas senior secondary school,2,2
viswas meditation center,2,2
vrajabhumi,2,2
washington,2,2
yale,2,2
yamanagar,2,2
yamnana,2,2
yamuna bank,2,2
yamuna kinara,2,2
yamunotri,2,2
yoga,2,2
yug,2,2
जापान,2,2
दागशाई,2,2
यमुना,2,2
यूरोप,2,2
संसार,2,2
indiy,1,12
dharmkshetra,1,3
dharwad,1,3
moon,1,3
alia,1,2
birani,1,2
chand das,1,2
goshal,1,2
jalpaiguri,1,2
kalikata,1,2
matang,1,2
mursit,1,2
rabiyar,1,2
rai das,1,2
rishi,1,2
sabari,1,2
00:00:04,1,1
00:04:33,1,1
09 park plaza ludhiana 14 - 16 mar 2014/14 mar - 1$ - 645 pm/06 sambodhan.json,1,1
10 kumra palace ludhiana,1,1
12 kumra palace ludhiana,1,1
14 - 16 mar 2014,1,1
160 adarsh colony,1,1
160-adarsh-colony,1,1
160 aradh colony,1,1
18:45,1,1
2014-03-14,1,1
