name,files,mentions
gita,354,367
vedas,340,354
bhagavad gita,251,275
upanishads,249,256
ramayana,237,242
bhagavad-gita,227,237
quran,157,158
guru granth sahib,147,149
ved,122,122
bible,112,114
mahabharata,106,110
om guruve namah,80,80
shastras,76,76
upanishad,58,58
ramayan,56,56
puranas,49,49
shastra,47,47
ram katha,29,30
bibble,27,27
om-guruve-namah,27,27
sutras,24,25
gurugranth sahib,22,22
guru-granth-sahib,21,21
guruvai namah,19,20
om,19,19
vedanta,17,17
yoga sutras,14,16
sri guru granth sahib,14,14
angels,13,13
anjil,13,13
upnishad,13,13
upanisads,12,17
brahma sutras,12,13
sastras,12,12
mahapurana,11,11
omkar,11,11
ram-katha,11,11
saraswati,10,24
bhagavata purana,10,10
gurugranth,10,10
gurupurnima,10,10
gurbani,8,8
guruva namah,8,8
koran,8,8
namo namah hari,8,8
japji,7,7
om guruvai namah,7,7
purana,7,7
rig veda,7,7
veda,7,7
bhajan,6,7
satsang,6,7
bhakti-rasamrita-sindhu,6,6
bibel,6,6
guru,6,6
ramcharitmanas,6,6
sadgranth,6,6
sadhgranth,6,6
guru gita,5,8
guru vandana,5,6
angil,5,5
bhagavata-purana,5,5
buddha,5,5
granth,5,5
guru purnima,5,5
mahabharat,5,5
sadgrantha,5,5
sanskriti,5,5
shastr,5,5
shri guruve namah,5,5
tat tvam asi,5,5
bhakti,4,13
gur-bani,4,5
angel,4,4
bhagavad purana,4,4
bhagavata,4,4
brahma-sutra,4,4
gurugranth-sahib,4,4
guruve namah,4,4
kuran,4,4
maha-bharata,4,4
omkara,4,4
ram nam,4,4
rigveda,4,4
sastr,4,4
sukhmani,4,4
tamaso ma jyotirgamya,4,4
upnishads,4,4
bhakti rasamrita sindhu,3,4
bhakti sutra,3,4
mahavir,3,4
srimad bhagavatam,3,4
advaita,3,3
akshara-brahma,3,3
anjiel,3,3
ankar guruve namah,3,3
bhagavat purana,3,3
bhakti-sutra,3,3
buddhist texts,3,3
coran,3,3
dharma,3,3
geeta,3,3
gur granth sahib,3,3
guruvay namah,3,3
injeel,3,3
karma,3,3
namo-namah-hari,3,3
namo namo hari,3,3
patanjali,3,3
patanjali yoga,3,3
